16
0:2,3 0.001 -1 1 2,0 0.003 -1 -1 1,3 0.002 1 0 0.003 50 1,13 0.001 1 0 0,12 0.003 1 -1 2,15 0.002 -1 1 0.001 50 12,3 0.001 -1 0 13,3 0.003 -1 0 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 0 1 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
1:2,3 0.001 -1 1 2,0 0.001 -1 -1 1,3 0.001 1 0 0.003 50 1,13 0.001 1 0 0,12 0.001 1 -1 2,15 0.001 -1 1 0.001 50 12,3 0.001 -1 0 13,3 0.001 -1 0 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 0 1 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
2:2,3 0.001 -1 0 2,0 0.001 0 -1 1,3 0.001 1 1 0.003 50 1,13 0.001 1 1 0,12 0.001 1 0 2,15 0.001 -1 0 0.001 50 12,3 0.001 -1 -1 13,3 0.001 -1 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 -1 1 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
3:2,3 0.001 -1 0 2,0 0.001 0 -1 1,3 0.001 1 1 0.003 50 1,13 0.001 1 1 0,12 0.001 1 0 2,15 0.001 -1 0 0.001 50 12,3 0.001 -1 -1 13,3 0.001 -1 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 -1 1 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
4:2,3 0.001 -1 -1 2,0 0.001 1 -1 1,3 0.001 0 1 0.003 50 1,13 0.001 0 1 0,12 0.001 1 1 2,15 0.001 -1 -1 0.001 50 12,3 0.001 0 -1 13,3 0.001 0 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 -1 0 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
5:2,3 0.001 -1 -1 2,0 0.001 1 -1 1,3 0.001 0 1 0.003 50 1,13 0.001 0 1 0,12 0.001 1 1 2,15 0.001 -1 -1 0.001 50 12,3 0.001 0 -1 13,3 0.001 0 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 -1 0 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
6:2,3 0.001 0 -1 2,0 0.001 1 0 1,3 0.001 0 1 0.003 50 1,13 0.001 -1 1 0,12 0.001 0 1 2,15 0.001 0 -1 0.001 50 12,3 0.001 1 -1 13,3 0.001 1 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 13,15 0.002 -1 -1 0.001 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
7:2,3 0.001 0 -1 2,0 0.001 1 0 1,3 0.001 0 1 0.003 50 1,13 0.001 -1 1 0,12 0.001 0 1 2,15 0.001 0 -1 0.001 50 12,3 0.001 1 -1 13,3 0.001 1 -1 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 12,14 0.002 -1 -1 0.002 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
8:2,3 0.001 1 -1 2,0 0.001 1 1 1,3 0.001 0 1 0.003 50 1,13 0.001 -1 1 0,12 0.001 -1 1 2,15 0.001 1 -1 0.001 50 12,3 0.001 1 0 13,3 0.001 1 0 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 12,14 0.002 0 -1 0.002 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
9:2,3 0.001 1 -1 2,0 0.001 1 1 1,3 0.001 0 1 0.003 50 1,13 0.001 -1 1 0,12 0.001 -1 1 2,15 0.001 1 -1 0.001 50 12,3 0.001 1 0 13,3 0.001 1 0 15,0 0.002 0 -1 0.001 50 12,15 0.001 -1 -1 14,15 0.003 0 1 12,13 0.002 0 -1 0.003 50 ::f,0,1 f,2,12 f,12,1 f,14,14 
