16
0:0,3 0.001 0 1 1,0 0.003 -1 0 0,2 0.002 -1 -1 0.002 50 1,12 0.001 -1 -1 3,12 0.003 -1 -1 0,13 0.002 -1 0 0.001 50 14,0 0.001 0 -1 15,3 0.003 0 -1 15,2 0.002 -1 0 0.001 50 13,14 0.001 -1 -1 15,14 0.003 1 0 13,12 0.002 0 -1 0.002 50 ::f,1,14 f,3,2 f,14,2 f,15,13 
1:0,3 0.001 0 1 1,0 0.001 -1 0 0,2 0.002 0 -1 0.002 50 1,12 0.001 0 -1 3,12 0.003 0 -1 0,13 0.002 -1 -1 0.001 50 14,0 0.001 1 -1 15,3 0.001 0 -1 15,2 0.001 -1 0 0.0011 65 13,14 0.001 -1 -1 15,14 0.003 1 1 13,12 0.002 1 -1 0.002 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
2:0,3 0.001 -1 1 0,0 0.001 -1 0 0,1 0.002 0 -1 0.004 50 1,12 0.001 0 -1 3,12 0.003 0 -1 0,13 0.002 -1 -1 0.001 50 14,0 0.001 1 -1 15,3 0.001 0 -1 14,2 0.001 -1 0 0.0021 65 12,13 0.001 -1 -1 15,14 0.003 1 1 13,12 0.002 1 -1 0.003 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
3:0,3 0.001 -1 1 0,0 0.001 -1 -1 0,1 0.001 0 -1 0.004 50 1,12 0.001 1 -1 3,12 0.003 1 -1 0,13 0.002 0 -1 0.001 50 14,0 0.001 1 0 15,3 0.001 0 -1 14,2 0.001 -1 0 0.0021 65 12,13 0.001 0 -1 15,14 0.003 0 1 13,12 0.002 1 0 0.003 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
4:0,3 0.001 -1 0 0,0 0.001 -1 -1 0,1 0.001 0 -1 0.004 50 1,12 0.001 1 -1 3,12 0.003 1 -1 0,12 0.002 0 -1 0.002 50 15,0 0.001 1 0 15,2 0.001 0 -1 13,2 0.001 -1 0 0.0051 65 12,12 0.001 0 -1 15,15 0.003 0 1 14,12 0.002 1 0 0.006 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
5:0,3 0.001 -1 0 0,0 0.001 0 -1 0,1 0.001 1 -1 0.004 50 1,12 0.001 1 0 3,12 0.003 1 0 0,12 0.002 1 -1 0.002 50 15,0 0.001 1 1 15,2 0.001 0 -1 13,2 0.001 -1 0 0.0051 65 12,12 0.001 1 -1 15,15 0.003 -1 1 14,12 0.001 1 0 0.006 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
6:0,3 0.001 -1 -1 0,0 0.001 0 -1 1,0 0.001 1 -1 0.005 50 2,12 0.001 1 0 3,12 0.003 1 0 0,12 0.002 1 -1 0.003 50 15,0 0.001 1 1 15,1 0.001 0 -1 12,2 0.001 -1 0 0.0071 65 12,12 0.001 1 -1 15,15 0.003 -1 1 15,12 0.001 1 0 0.007 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
7:0,3 0.001 -1 -1 0,0 0.001 1 -1 1,0 0.001 1 0 0.005 50 2,12 0.001 1 0 3,12 0.003 1 1 0,12 0.002 1 0 0.003 50 15,0 0.001 0 1 15,1 0.001 0 -1 12,2 0.001 -1 -1 0.0071 65 12,12 0.001 1 0 15,15 0.003 -1 0 15,12 0.001 1 1 0.007 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
8:0,3 0.001 0 -1 0,0 0.001 1 -1 2,0 0.001 1 0 0.006 50 2,12 0.001 1 0 3,12 0.003 1 1 1,12 0.002 1 0 0.004 50 15,0 0.001 0 1 15,1 0.001 0 -1 12,2 0.001 -1 -1 0.0071 65 13,12 0.001 1 0 14,15 0.003 -1 0 15,12 0.001 1 1 0.009 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
9:0,3 0.001 0 -1 0,0 0.001 1 0 2,0 0.001 1 0 0.006 50 2,12 0.001 1 1 3,12 0.003 0 1 1,12 0.001 1 0 0.004 50 15,0 0.001 0 1 15,1 0.001 1 -1 12,2 0.001 0 -1 0.0071 65 13,12 0.001 1 0 14,15 0.001 -1 0 15,12 0.001 0 1 0.009 50 ::f,1,14 f,3,2 f,13,1 f,15,13 
